time_index,station_id,nb_velos_dispo,nb_places_dispo,latitude,longitude,ratio
1554,145,0,1,50.61992,3.14528,0.0
1554,239,8,6,50.730289,3.167723,0.5714285714285714
1554,193,12,8,50.658146,3.042003,0.6
1554,237,4,8,50.719803,3.156338,0.3333333333333333
1554,258,0,11,50.710735,3.159881,0.0
1554,6,10,14,50.630943,3.060299,0.4166666666666667
1554,150,10,14,50.60548,3.077622,0.4166666666666667
1554,47,9,17,50.62824,3.069233,0.34615384615384615
1554,267,17,3,50.670155,3.154898,0.85
1554,200,14,10,50.679123,3.155906,0.5833333333333334
1554,160,0,20,50.637709,3.077478,0.0
1554,201,1,29,50.673943,3.163443,0.03333333333333333
1554,305,17,3,50.67057,3.1443,0.85
1554,250,15,7,50.72389,3.160344,0.6818181818181818
1554,213,10,8,50.68859,3.182028,0.5555555555555556
1554,272,6,12,50.671517,3.183123,0.3333333333333333
1554,23,5,13,50.639107,3.065548,0.2777777777777778
1554,242,5,13,50.716843,3.167834,0.2777777777777778
1554,311,8,12,50.671409,3.055056,0.4
1554,104,6,12,50.64584,3.112744,0.3333333333333333
1554,171,0,14,50.62479,3.080467,0.0
1554,55,2,21,50.617847,3.061758,0.08695652173913043
1554,209,14,6,50.674995,3.195737,0.7
1554,83,15,9,50.63378,3.02059,0.625
1554,170,1,11,50.62195,3.06038,0.08333333333333333
1554,17,5,14,50.644695,3.060867,0.2631578947368421
1554,268,1,15,50.6967934,3.1684926,0.0625
1554,169,7,5,50.644685,3.057953,0.5833333333333334
1554,253,4,8,50.72498,3.150884,0.3333333333333333
1554,275,9,11,50.665946,3.198101,0.45
1554,313,9,11,50.666236,3.06415,0.45
1554,310,8,12,50.676607,3.065308,0.4
1554,13,5,13,50.63671,3.054773,0.2777777777777778
1554,158,7,13,50.644943,3.036932,0.35
1554,57,4,14,50.62418,3.058902,0.2222222222222222
1554,60,15,5,50.621185,3.072363,0.75
1554,230,3,7,50.70076,3.18407,0.3
1554,194,12,8,50.665968,3.049462,0.6
1554,32,7,9,50.64142,3.067873,0.4375
1554,192,5,9,50.6312847,3.1350379,0.35714285714285715
1554,44,8,10,50.629063,3.053711,0.4444444444444444
1554,33,5,21,50.63022,3.035681,0.19230769230769232
1554,84,3,21,50.627243,3.109266,0.125
1554,211,13,5,50.674164,3.174519,0.7222222222222222
