id,nom,adresse,commune,type,latitude,longitude,geo
136,RUE CHAMBORD,RUE CHAMBORD,VILLENEUVE D'ASCQ,SANS TPE,50.62972,3.133873,"(50.62972, 3.133873)"
270,PAVÉ DE LILLE,Rue Jean Bart,WASQUEHAL,AVEC TPE,50.664211,3.130098,"(50.664211, 3.130098)"
35,LECLERC,24 PLACE MARECHAL LECLERC,LILLE,AVEC TPE,50.62899,3.043307,"(50.62899, 3.043307)"
44,GAMBETTA UTRECHT,199 RUE LEON GAMBETTA,LILLE,AVEC TPE,50.629063,3.053711,"(50.629063, 3.053711)"
11,NOUVEAU SIECLE,10 RUE DE PAS,LILLE,AVEC TPE,50.63734,3.060977,"(50.63734, 3.060977)"
13,QUAI DU WAULT,17 SQUARE DUTILLEUL,LILLE,AVEC TPE,50.63671,3.054773,"(50.63671, 3.054773)"
30,RUE DE GAND,8 PLACE DE GAND,LILLE,AVEC TPE,50.64297,3.067375,"(50.64297, 3.067375)"
41,BUISSON,681 AVENUE DE LA REPUBLIQUE,LILLE,AVEC TPE,50.656487,3.088004,"(50.656487, 3.088004)"
55,PORTE D'ARRAS,3 PLACE JACQUES FEBVRIER,LILLE,AVEC TPE,50.617847,3.061758,"(50.617847, 3.061758)"
81,GUINGUETTE,RUE JACQUARD,LILLE HELLEMMES,AVEC TPE,50.63529,3.115088,"(50.63529, 3.115088)"
83,EURATECHNOLOGIES,AVENUE DE BRETAGNE,LILLE,AVEC TPE,50.63378,3.02059,"(50.63378, 3.02059)"
85,CHANZY,58 RUE CHANZY,LILLE HELLEMMES,AVEC TPE,50.62504,3.1008,"(50.62504, 3.1008)"
90,LOUVIERE,1 RUE DU DIEU DE MARCQ,LILLE,AVEC TPE,50.64569,3.0858226,"(50.64569, 3.0858226)"
96,ROMARIN,ALLEE VICTOR BASCH,LA MADELEINE,AVEC TPE,50.64543,3.075116,"(50.64543, 3.075116)"
97,LA MADELEINE GARE,250 RUE GENERAL DE GAULLE,LA MADELEINE,AVEC TPE,50.65937,3.074057,"(50.65937, 3.074057)"
100,SAINT MAUR,260 AVENUE DE LA REPUBLIQUE,LA MADELEINE,AVEC TPE,50.651638,3.081625,"(50.651638, 3.081625)"
